#;No.;Time;Source;Destination;Protocol;Info;
0;1;0.000000;194.190.80.90;212.151.225.95;GTP <TCP>;50000 > 7374 [PSH, ACK] Seq=1 Ack=1 Win=65307 Len=18;
1;2;2.377400;212.151.225.95;194.190.80.90;GTP <TCP>;7374 > 50000 [ACK] Seq=1 Ack=19 Win=5822 Len=0;
2;3;5.582915;212.151.225.95;194.190.80.90;GTP <TCP>;7374 > 50000 [PSH, ACK] Seq=1 Ack=19 Win=5840 Len=14;
3;4;5.890292;194.190.80.90;212.151.225.95;GTP <TCP>;50000 > 7374 [ACK] Seq=19 Ack=15 Win=65293 Len=0;
4;5;44.999486;194.190.80.90;212.151.225.95;GTP <TCP>;50000 > 7374 [PSH, ACK] Seq=19 Ack=15 Win=65293 Len=18;
5;6;47.396883;212.151.225.95;194.190.80.90;GTP <TCP>;7374 > 50000 [ACK] Seq=15 Ack=37 Win=5822 Len=0;
6;7;48.517107;212.151.225.95;194.190.80.90;GTP <TCP>;7374 > 50000 [PSH, ACK] Seq=15 Ack=37 Win=5840 Len=14;
7;8;48.874132;194.190.80.90;212.151.225.95;GTP <TCP>;50000 > 7374 [ACK] Seq=37 Ack=29 Win=65279 Len=0;
8;9;85.616954;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
9;10;86.610886;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
10;11;87.612808;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
11;12;87.935622;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
12;13;87.964798;212.119.161.154;212.151.225.95;GTP <ICMP>;Destination unreachable (Protocol unreachable);
13;14;87.995366;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
14;15;88.063240;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
15;16;88.608731;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
16;17;89.265215;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
17;18;89.294815;212.119.161.154;212.151.225.95;GTP <ICMP>;Destination unreachable (Protocol unreachable);
18;19;89.607856;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
19;20;89.985597;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
20;21;89.999158;194.190.80.90;212.151.225.95;GTP <TCP>;50000 > 7374 [PSH, ACK] Seq=37 Ack=29 Win=65279 Len=18;
21;22;90.014119;212.119.161.154;212.151.225.95;GTP <ICMP>;Destination unreachable (Protocol unreachable);
22;23;90.599746;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
23;24;90.804647;212.151.225.95;194.190.80.90;GTP <TCP>;7374 > 50000 [ACK] Seq=29 Ack=55 Win=5822 Len=0;
24;25;91.005958;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
25;26;91.035734;212.119.161.154;212.151.225.95;GTP <ICMP>;Destination unreachable (Protocol unreachable);
26;27;91.598169;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
27;28;91.983466;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
28;29;92.012463;212.119.161.154;212.151.225.95;GTP <ICMP>;Destination unreachable (Protocol unreachable);
29;30;92.593311;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
30;31;93.265251;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
31;32;93.294396;212.119.161.154;212.151.225.95;GTP <ICMP>;Destination unreachable (Protocol unreachable);
32;33;93.596739;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
33;34;93.963199;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
34;35;93.992531;212.119.161.154;212.151.225.95;GTP <ICMP>;Destination unreachable (Protocol unreachable);
35;36;94.003982;212.151.225.95;194.190.80.90;GTP <TCP>;7374 > 50000 [PSH, ACK] Seq=29 Ack=55 Win=5840 Len=14;
36;37;94.264118;194.190.80.90;212.151.225.95;GTP <TCP>;50000 > 7374 [ACK] Seq=55 Ack=43 Win=65265 Len=0;
37;38;94.640602;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
38;39;95.297261;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
39;40;95.326439;212.119.161.154;212.151.225.95;GTP <ICMP>;Destination unreachable (Protocol unreachable);
